src_ip,dst_ip,protocol,src_port,dst_port,pkt_len
10.0.0.121,157.240.212.60,UDP,57323.0,443.0,78
10.0.0.121,157.240.212.60,UDP,57323.0,443.0,76
10.0.0.121,224.0.0.22,OTHER,,,54
157.240.212.60,10.0.0.121,UDP,443.0,57323.0,83
157.240.212.60,10.0.0.121,UDP,443.0,57323.0,90
102.132.101.61,10.0.0.121,TCP,443.0,62392.0,578
102.132.101.61,10.0.0.121,TCP,443.0,62392.0,578
102.132.101.61,10.0.0.121,TCP,443.0,62392.0,533
102.132.101.61,10.0.0.121,TCP,443.0,62392.0,578
102.132.101.61,10.0.0.121,TCP,443.0,62392.0,578
102.132.101.61,10.0.0.121,TCP,443.0,62392.0,578
102.132.101.61,10.0.0.121,TCP,443.0,62392.0,578
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,1287
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,1292
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,469
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,181
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,213
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,66
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,81
10.0.0.121,102.132.101.61,TCP,62392.0,443.0,66
10.0.0.121,102.132.101.61,TCP,62392.0,443.0,66
10.0.0.121,102.132.101.61,TCP,62392.0,443.0,66
10.0.0.121,102.132.101.61,TCP,62392.0,443.0,66
10.0.0.121,102.132.101.61,TCP,62392.0,443.0,66
10.0.0.121,102.132.101.61,TCP,62392.0,443.0,66
10.0.0.121,102.132.101.61,TCP,62392.0,443.0,66
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,68
102.132.101.61,10.0.0.121,TCP,443.0,62392.0,578
102.132.101.61,10.0.0.121,TCP,443.0,62392.0,578
10.0.0.121,102.132.101.61,TCP,62392.0,443.0,66
10.0.0.121,102.132.101.61,TCP,62392.0,443.0,66
102.132.101.61,10.0.0.121,TCP,443.0,62392.0,578
102.132.101.61,10.0.0.121,TCP,443.0,62392.0,578
10.0.0.121,102.132.101.61,TCP,62392.0,443.0,66
10.0.0.121,102.132.101.61,TCP,62392.0,443.0,66
102.132.101.61,10.0.0.121,TCP,443.0,62392.0,578
102.132.101.61,10.0.0.121,TCP,443.0,62392.0,578
10.0.0.121,102.132.101.61,TCP,62392.0,443.0,66
10.0.0.121,102.132.101.61,TCP,62392.0,443.0,66
102.132.101.61,10.0.0.121,TCP,443.0,62392.0,578
10.0.0.121,102.132.101.61,TCP,62392.0,443.0,66
102.132.101.61,10.0.0.121,TCP,443.0,62392.0,246
10.0.0.121,102.132.101.61,TCP,62392.0,443.0,66
10.0.0.121,142.251.209.206,UDP,62662.0,443.0,183
10.0.0.121,142.251.209.206,UDP,62662.0,443.0,183
10.0.0.121,142.251.209.206,UDP,62662.0,443.0,191
142.251.209.206,10.0.0.121,UDP,443.0,62662.0,70
10.0.0.121,157.240.212.60,UDP,57323.0,443.0,459
10.0.0.121,157.240.212.60,UDP,57323.0,443.0,1288
10.0.0.121,157.240.212.60,UDP,57323.0,443.0,1292
10.0.0.121,157.240.212.60,UDP,57323.0,443.0,191
10.0.0.121,142.251.209.206,UDP,62662.0,443.0,74
142.251.209.206,10.0.0.121,UDP,443.0,62662.0,881
142.251.209.206,10.0.0.121,UDP,443.0,62662.0,845
142.251.209.206,10.0.0.121,UDP,443.0,62662.0,847
10.0.0.121,102.132.101.61,TCP,62392.0,443.0,69
10.0.0.121,142.251.209.206,UDP,62662.0,443.0,80
10.0.0.121,142.251.209.206,UDP,62662.0,443.0,91
10.0.0.121,142.251.209.206,UDP,62662.0,443.0,77
10.0.0.121,142.251.209.206,UDP,62662.0,443.0,79
10.0.0.121,196.49.26.205,UDP,62655.0,443.0,281
10.0.0.121,196.49.26.207,UDP,62664.0,443.0,278
10.0.0.121,196.49.26.173,UDP,62663.0,443.0,278
102.132.101.61,10.0.0.121,TCP,443.0,62392.0,66
10.0.0.121,102.132.101.61,TCP,62392.0,443.0,123
196.49.26.205,10.0.0.121,UDP,443.0,62655.0,84
196.49.26.205,10.0.0.121,UDP,443.0,62655.0,65
196.49.26.207,10.0.0.121,UDP,443.0,62664.0,80
196.49.26.173,10.0.0.121,UDP,443.0,62663.0,80
196.49.26.173,10.0.0.121,UDP,443.0,62663.0,63
102.132.101.61,10.0.0.121,TCP,443.0,62392.0,66
196.49.26.207,10.0.0.121,UDP,443.0,62664.0,63
10.0.0.121,196.49.26.173,UDP,62663.0,443.0,77
10.0.0.121,196.49.26.207,UDP,62664.0,443.0,77
10.0.0.121,196.49.26.205,UDP,62655.0,443.0,80
157.240.212.60,10.0.0.121,UDP,443.0,57323.0,90
10.0.0.121,157.240.212.60,UDP,57323.0,443.0,77
196.49.26.173,10.0.0.121,UDP,443.0,62663.0,66
157.240.212.60,10.0.0.121,UDP,443.0,57323.0,90
196.49.26.207,10.0.0.121,UDP,443.0,62664.0,66
